A
t S I R
0 300 100 0
0.0025 299 100 1
0.005 298 101 1
0.0075 297 101 2
0.01 297 101 2
0.0125 296 102 2
0.015 295 103 2
0.0175 295 103 2
0.02 294 104 2
0.0225 294 104 2
0.025 293 105 2
0.0275 292 106 2
0.03 291 106 3
0.0325 290 106 4
0.035 289 107 4
0.0375 288 108 4
0.04 287 109 4
0.0425 287 108 5
0.045 286 109 5
0.0475 286 109 5
0.05 285 109 6
0.0525 284 110 6
0.055 283 111 6
0.0575 282 112 6
0.06 281 113 6
0.0625 280 114 6
0.065 279 115 6
0.0675 278 115 7
0.07 277 115 8
0.0725 276 116 8
0.075 275 117 8
0.0775 274 117 9
0.08 273 118 9
0.0825 272 119 9
0.085 271 119 10
0.0875 271 119 10
0.09 270 120 10
0.0925 269 121 10
0.095 268 122 10
0.0975 268 122 10
0.1 267 123 10
0.1025 266 123 11
0.105 265 124 11
0.1075 264 125 11
0.11 263 126 11
0.1125 262 126 12
0.115 261 126 13
0.1175 260 126 14
0.12 259 126 15
0.1225 258 126 16
0.125 258 125 17
0.1275 257 126 17
0.13 256 126 18
0.1325 255 126 19
0.135 254 127 19
0.1375 254 127 19
0.14 253 127 20
0.1425 252 128 20
0.145 251 129 20
0.1475 250 130 20
0.15 249 130 21
0.1525 248 130 22
0.155 248 130 22
0.1575 248 130 22
0.16 247 131 22
0.1625 246 132 22
0.165 245 133 22
0.1675 244 134 22
0.17 243 135 22
0.1725 242 136 22
0.175 241 136 23
0.1775 240 137 23
0.18 239 138 23
0.1825 238 139 23
0.185 237 140 23
0.1875 237 140 23
0.19 236 140 24
0.1925 235 141 24
0.195 234 141 25
0.1975 233 142 25
0.2 232 143 25
0.2025 231 143 26
0.205 231 142 27
0.2075 230 142 28
0.21 229 142 29
0.2125 229 141 30
0.215 229 141 30
0.2175 228 142 30
0.22 227 143 30
0.2225 227 142 31
0.225 227 141 32
0.2275 226 142 32
0.23 226 142 32
0.2325 225 142 33
0.235 224 143 33
0.2375 223 144 33
0.24 223 143 34
0.2425 222 144 34
0.245 222 144 34
0.2475 221 145 34
0.25 220 146 34
0.2525 220 146 34
0.255 219 146 35
0.2575 219 146 35
0.26 218 147 35
0.2625 217 148 35
0.265 216 149 35
0.2675 216 149 35
0.27 215 150 35
0.2725 214 150 36
0.275 214 150 36
0.2775 213 150 37
0.28 212 151 37
0.2825 211 151 38
0.285 210 151 39
0.2875 210 150 40
0.29 209 151 40
0.2925 208 152 40
0.295 207 152 41
0.2975 206 153 41
0.3 205 154 41
0.3025 204 155 41
0.305 203 155 42
0.3075 203 155 42
0.31 202 156 42
0.3125 201 157 42
0.315 200 158 42
0.3175 199 158 43
0.32 198 159 43
0.3225 198 159 43
0.325 197 160 43
0.3275 196 161 43
0.33 197 161 42
0.3325 196 162 42
0.335 196 162 42
0.3375 195 162 43
