A
t S I R
0 300 100 0
0.0025 299 101 0
0.005 298 102 0
0.0075 297 103 0
0.01 297 103 0
0.0125 296 104 0
0.015 295 104 1
0.0175 294 105 1
0.02 293 105 2
0.0225 292 106 2
0.025 291 107 2
0.0275 290 107 3
0.03 289 108 3
0.0325 288 109 3
0.035 287 109 4
0.0375 286 109 5
0.04 285 110 5
0.0425 284 110 6
0.045 283 111 6
0.0475 282 112 6
0.05 281 113 6
0.0525 280 114 6
0.055 279 114 7
0.0575 278 115 7
0.06 277 116 7
0.0625 276 116 8
0.065 275 117 8
0.0675 274 118 8
0.07 273 118 9
0.0725 272 118 10
0.075 271 119 10
0.0775 270 120 10
0.08 269 120 11
0.0825 268 121 11
0.085 267 122 11
0.0875 266 123 11
0.09 265 124 11
0.0925 265 124 11
0.095 265 124 11
0.0975 264 124 12
0.1 264 124 12
0.1025 263 125 12
0.105 262 126 12
0.1075 262 126 12
0.11 261 127 12
0.1125 261 127 12
0.115 261 127 12
0.1175 260 128 12
0.12 260 128 12
0.1225 259 129 12
0.125 259 128 13
0.1275 258 128 14
0.13 258 128 14
0.1325 257 129 14
0.135 257 128 15
0.1375 256 129 15
0.14 255 130 15
0.1425 254 130 16
0.145 253 131 16
0.1475 253 131 16
0.15 253 131 16
0.1525 252 131 17
0.155 251 131 18
0.1575 250 132 18
0.16 250 131 19
0.1625 249 131 20
0.165 248 131 21
0.1675 248 131 21
0.17 247 132 21
0.1725 247 131 22
0.175 246 132 22
0.1775 245 133 22
0.18 245 133 22
0.1825 244 134 22
0.185 243 135 22
0.1875 242 135 23
0.19 241 136 23
0.1925 240 136 24
0.195 239 136 25
0.1975 238 137 25
0.2 238 137 25
0.2025 238 137 25
0.205 238 137 25
0.2075 237 137 26
0.21 236 138 26
0.2125 235 138 27
0.215 234 139 27
0.2175 233 140 27
0.22 232 141 27
0.2225 231 142 27
0.225 230 143 27
0.2275 229 144 27
0.23 228 144 28
0.2325 227 145 28
0.235 227 145 28
0.2375 226 145 29
0.24 226 145 29
0.2425 225 146 29
0.245 224 147 29
0.2475 223 148 29
0.25 223 148 29
0.2525 223 148 29
0.255 222 148 30
0.2575 221 149 30
0.26 220 149 31
0.2625 219 150 31
0.265 218 151 31
0.2675 217 151 32
0.27 216 152 32
0.2725 215 153 32
0.275 214 154 32
0.2775 213 155 32
0.28 212 156 32
0.2825 211 156 33
0.285 210 156 34
0.2875 210 157 33
0.29 209 157 34
0.2925 208 158 34
0.295 207 159 34
0.2975 206 159 35
0.3 205 160 35
0.3025 205 159 36
0.305 205 158 37
0.3075 204 158 38
0.31 203 159 38
0.3125 203 160 37
0.315 202 161 37
0.3175 201 161 38
0.32 200 162 38
0.3225 199 162 39
0.325 198 163 39
0.3275 198 163 39
0.33 198 164 38
0.3325 198 163 39
0.335 197 163 40
0.3375 196 164 40
0.34 195 165 40
0.3425 194 166 40
0.345 194 166 40
0.3475 193 167 40
0.35 192 167 41
0.3525 191 168 41
0.355 190 169 41
0.3575 189 170 41
0.36 189 169 42
0.3625 188 170 42
0.365 187 171 42
0.3675 187 171 42
0.37 186 172 42
0.3725 186 171 43
0.375 186 171 43
0.3775 185 172 43
0.38 184 172 44
0.3825 184 172 44
0.385 183 173 44
0.3875 182 173 45
0.39 181 174 45
0.3925 180 174 46
0.395 179 175 46
0.3975 179 175 46
0.4 178 176 46
0.4025 177 177 46
0.405 176 177 47
0.4075 175 177 48
0.41 174 178 48
0.4125 173 179 48
0.415 172 180 48
0.4175 171 180 49
0.42 170 180 50
0.4225 170 180 50
0.425 169 180 51
0.4275 168 181 51
0.43 168 180 52
0.4325 167 180 53
0.435 166 180 54
0.4375 165 181 54
0.44 165 181 54
