A
t S I R
0.0 300.0 100.0 0.0
0.0024999999999999996 299.2 100.5 0.3
0.004999999999999999 298.2 101.1 0.7
0.0075000000000000015 297.2 101.9 0.9
0.009999999999999998 296.5 102.5 1.0
0.012499999999999999 295.8 102.9 1.3
0.015000000000000003 295.0 103.6 1.4
0.017500000000000005 294.1 104.5 1.4
0.019999999999999997 293.3 105.1 1.6
0.022499999999999996 292.4 105.9 1.7
0.024999999999999998 291.6 106.5 1.9
0.027500000000000004 290.8 107.0 2.2
0.030000000000000006 290.0 107.4 2.6
0.032499999999999994 289.1 108.0 2.9
0.03500000000000001 288.1 108.8 3.1
0.03749999999999999 287.5 109.4 3.1
0.039999999999999994 287.0 109.6 3.4
0.042499999999999996 286.2 110.2 3.6
0.04499999999999999 285.4 110.4 4.2
0.047499999999999994 284.6 111.0 4.4
0.049999999999999996 283.6 111.8 4.6
0.052500000000000005 282.9 112.4 4.7
0.05500000000000001 282.2 113.0 4.8
0.05750000000000001 281.6 113.3 5.1
0.06000000000000001 280.8 113.8 5.4
0.0625 280.1 114.3 5.6
0.06499999999999999 279.2 114.8 6.0
0.0675 278.5 115.2 6.3
0.07000000000000002 277.8 115.7 6.5
0.0725 276.9 116.5 6.6
0.07499999999999998 276.1 117.0 6.9
0.0775 275.2 117.5 7.3
0.07999999999999999 274.4 118.1 7.5
0.0825 273.7 118.7 7.6
0.08499999999999999 272.7 119.6 7.7
0.08750000000000001 271.9 120.2 7.9
0.08999999999999998 271.3 120.7 8.0
0.09250000000000001 270.7 121.1 8.2
0.09499999999999999 270.0 121.6 8.4
0.09750000000000002 269.4 122.2 8.4
0.09999999999999999 268.5 122.9 8.6
0.10250000000000001 267.6 123.6 8.8
0.10500000000000001 266.6 124.5 8.9
0.10750000000000001 265.9 124.9 9.2
0.11000000000000001 265.4 125.2 9.4
0.11250000000000002 265.0 125.1 9.9
0.11500000000000002 264.1 125.6 10.3
0.11749999999999997 263.2 126.2 10.6
0.12000000000000002 262.2 126.8 11.0
0.12250000000000003 261.3 127.4 11.3
0.125 260.7 127.6 11.7
0.12749999999999997 259.9 128.0 12.1
0.12999999999999998 259.0 128.7 12.3
0.13250000000000003 258.1 129.2 12.7
0.135 257.3 129.9 12.8
0.13749999999999998 256.4 130.4 13.2
0.14000000000000004 255.4 131.0 13.6
0.14250000000000002 254.4 131.7 13.9
0.145 253.6 132.2 14.2
0.1475 252.7 132.9 14.4
0.14999999999999997 251.9 133.6 14.5
0.15250000000000002 251.1 133.9 15.0
0.155 250.5 134.1 15.4
0.1575 249.7 134.6 15.7
0.15999999999999998 248.8 134.9 16.3
0.16250000000000003 248.2 135.5 16.3
0.165 247.4 136.2 16.4
0.1675 246.5 136.8 16.7
0.16999999999999998 245.6 137.5 16.9
