A
t S I R
0 300 100 0
0.1 255 135 10
0.2 203.863 173.137 23
0.3 152.07 208.766 39.1637
0.4 106.41 235.508 58.0822
0.5 71.7277 249.543 78.7288
0.6 48.8198 251.433 99.7467
0.7 35.3991 244.698 119.903
0.8 28.4053 233.217 138.377
0.9 25.3914 219.828 154.78
1 24.7623 206.214 169.024
1.1 25.559 193.247 181.194
1.2 27.2158 181.325 191.459
1.3 29.3934 170.588 200.019
1.4 31.8815 161.042 207.077
1.5 34.5439 152.629 212.827
1.6 37.2883 145.263 217.449
1.7 40.0495 138.848 221.102
1.8 42.7793 133.289 223.932
1.9 45.4411 128.495 226.064
2 48.0067 124.383 227.611
2.1 50.454 120.878 228.668
2.2 52.7657 117.912 229.323
2.3 54.929 115.423 229.648
2.4 56.9343 113.358 229.708
2.5 58.7754 111.667 229.558
2.6 60.4488 110.304 229.247
2.7 61.9539 109.231 228.815
2.8 63.2923 108.41 228.297
2.9 64.4678 107.809 227.723
3 65.4862 107.396 227.118
3.1 66.355 107.143 226.502
3.2 67.0831 107.026 225.891
3.3 67.6805 107.02 225.299
3.4 68.1582 107.106 224.736
3.5 68.5278 107.262 224.21
3.6 68.8012 107.473 223.726
3.7 68.9902 107.723 223.287
3.8 69.1067 107.999 222.895
3.9 69.1622 108.288 222.55
4 69.1674 108.582 222.251
4.1 69.1325 108.871 221.997
4.2 69.0667 109.149 221.784
4.3 68.9785 109.412 221.61
4.4 68.8753 109.654 221.47
4.5 68.7635 109.874 221.362
4.6 68.6486 110.07 221.282
4.7 68.5352 110.24 221.224
4.8 68.4269 110.386 221.187
4.9 68.3267 110.507 221.167
5 68.2367 110.604 221.159
5.1 68.1584 110.68 221.161
5.2 68.0928 110.736 221.171
5.3 68.0404 110.773 221.186
5.4 68.0011 110.795 221.204
5.5 67.9749 110.802 221.224
5.6 67.9611 110.796 221.243
5.7 67.9591 110.781 221.26
5.8 67.9681 110.757 221.275
5.9 67.9872 110.726 221.287
6 68.0153 110.689 221.295
6.1 68.0516 110.649 221.299
6.2 68.0949 110.606 221.299
6.3 68.1445 110.56 221.295
6.4 68.1994 110.514 221.286
6.5 68.2588 110.468 221.273
6.6 68.322 110.422 221.257
6.7 68.3882 110.376 221.236
6.8 68.4569 110.331 221.212
6.9 68.5275 110.288 221.184
7 68.5997 110.247 221.154
7.1 68.6729 110.206 221.121
7.2 68.747 110.168 221.085
7.3 68.8217 110.13 221.048
7.4 68.8967 110.095 221.009
7.5 68.972 110.06 220.968
7.6 69.0475 110.027 220.925
7.7 69.123 109.995 220.882
7.8 69.1986 109.964 220.837
7.9 69.2742 109.934 220.792
8 69.3499 109.905 220.746
8.1 69.4258 109.875 220.699
8.2 69.5018 109.847 220.651
8.3 69.5781 109.818 220.603
8.4 69.6547 109.79 220.555
8.5 69.7317 109.762 220.506
8.6 69.8091 109.734 220.457
8.7 69.887 109.705 220.408
8.8 69.9656 109.677 220.358
8.9 70.0448 109.648 220.308
9 70.1248 109.618 220.257
9.1 70.2055 109.588 220.206
9.2 70.2871 109.558 220.155
9.3 70.3696 109.528 220.103
9.4 70.453 109.497 220.05
9.5 70.5374 109.465 219.997
9.6 70.6228 109.433 219.944
9.7 70.7092 109.401 219.89
9.8 70.7966 109.368 219.836
9.9 70.8852 109.334 219.781
10 70.9748 109.3 219.725
10.1 71.0655 109.266 219.669
