A
t S I R
0 300 100 0
0.1 255 135 10
0.2 203.863 173.137 23
0.3 152.068 208.768 39.1637
0.4 106.406 235.511 58.0824
0.5 71.7208 249.55 78.7294
0.6 48.8107 251.441 99.7479
0.7 35.3889 244.706 119.905
0.8 28.3946 233.225 138.38
0.9 25.3804 219.836 154.784
1 24.7506 206.221 169.028
1.1 25.5462 193.255 181.199
1.2 27.2012 181.334 191.464
1.3 29.3762 170.599 200.025
1.4 31.8607 161.056 207.083
1.5 34.5186 152.647 212.835
1.6 37.2575 145.285 217.458
1.7 40.0119 138.875 221.113
1.8 42.7338 133.321 223.945
1.9 45.3865 128.534 226.08
2 47.9415 124.429 227.629
2.1 50.3767 120.933 228.691
2.2 52.675 117.976 229.349
2.3 54.8231 115.497 229.68
2.4 56.8117 113.443 229.745
2.5 58.6344 111.763 229.602
2.6 60.2878 110.414 229.299
2.7 61.7711 109.354 228.875
2.8 63.0862 108.547 228.367
2.9 64.2367 107.96 227.803
3 65.2287 107.562 227.209
3.1 66.0695 107.326 226.605
3.2 66.7684 107.225 226.007
3.3 67.3353 107.236 225.429
3.4 67.7815 107.337 224.881
3.5 68.1186 107.511 224.371
3.6 68.3585 107.738 223.903
3.7 68.5135 108.004 223.482
3.8 68.5955 108.296 223.108
3.9 68.6159 108.602 222.783
4 68.5857 108.911 222.504
4.1 68.5152 109.215 222.269
4.2 68.4136 109.509 222.078
4.3 68.2894 109.786 221.925
4.4 68.15 110.043 221.807
4.5 68.002 110.277 221.721
4.6 67.8506 110.487 221.663
4.7 67.7006 110.671 221.628
4.8 67.5555 110.831 221.614
4.9 67.4181 110.966 221.616
5 67.2905 111.077 221.632
5.1 67.1743 111.168 221.658
5.2 67.0701 111.238 221.692
5.3 66.9785 111.29 221.731
5.4 66.8995 111.327 221.774
5.5 66.8326 111.35 221.818
5.6 66.7775 111.361 221.862
5.7 66.7332 111.362 221.905
5.8 66.699 111.355 221.946
5.9 66.6738 111.342 221.984
6 66.6567 111.324 222.019
6.1 66.6466 111.303 222.05
6.2 66.6426 111.279 222.078
6.3 66.6437 111.254 222.102
6.4 66.649 111.229 222.123
6.5 66.6576 111.203 222.139
6.6 66.6689 111.178 222.153
6.7 66.6822 111.155 222.163
6.8 66.6968 111.133 222.17
6.9 66.7124 111.113 222.175
7 66.7283 111.094 222.177
7.1 66.7443 111.078 222.178
7.2 66.7601 111.063 222.177
7.3 66.7755 111.05 222.174
7.4 66.7903 111.039 222.171
7.5 66.8043 111.03 222.166
7.6 66.8176 111.022 222.161
7.7 66.8299 111.015 222.155
7.8 66.8415 111.01 222.149
7.9 66.8521 111.006 222.142
8 66.862 111.002 222.136
8.1 66.8711 111 222.129
8.2 66.8795 110.998 222.123
8.3 66.8873 110.996 222.116
8.4 66.8945 110.995 222.11
8.5 66.9012 110.995 222.104
8.6 66.9075 110.994 222.098
8.7 66.9135 110.994 222.093
8.8 66.9192 110.993 222.088
8.9 66.9247 110.993 222.083
9 66.93 110.992 222.078
9.1 66.9353 110.992 222.073
9.2 66.9404 110.991 222.069
9.3 66.9456 110.99 222.064
9.4 66.9508 110.989 222.06
9.5 66.9561 110.988 222.056
9.6 66.9614 110.987 222.052
9.7 66.9668 110.985 222.048
9.8 66.9723 110.984 222.044
9.9 66.978 110.982 222.04
10 66.9838 110.98 222.036
10.1 66.9897 110.978 222.033
