A
t S I R
0 300 100 0
0.1 262.5 127.5 10
0.2 221.164 156.586 22.25
0.3 178.988 184.216 36.7961
0.4 139.612 207.01 53.3779
0.5 106.155 222.435 71.41
0.6 80.2097 229.707 90.083
0.7 61.6832 229.767 108.55
0.8 49.395 224.506 126.099
0.9 41.8383 215.917 142.245
1 37.6588 205.617 156.724
1.1 35.8162 194.734 169.45
1.2 35.5707 183.979 180.45
1.3 36.4132 173.761 189.826
1.4 37.9959 164.293 197.711
1.5 40.0788 155.667 204.254
1.6 42.4934 147.898 209.608
1.7 45.1185 140.964 213.918
1.8 47.865 134.817 217.318
1.9 50.6654 129.401 219.934
2 53.4678 124.655 221.877
2.1 56.2314 120.52 223.249
2.2 58.9237 116.938 224.139
2.3 61.5189 113.856 224.625
2.4 63.9962 111.224 224.78
2.5 66.3393 108.998 224.663
2.6 68.5356 107.135 224.33
2.7 70.5757 105.598 223.827
2.8 72.4533 104.352 223.195
2.9 74.1645 103.365 222.471
3 75.7079 102.609 221.683
3.1 77.0843 102.056 220.86
3.2 78.2965 101.681 220.023
3.3 79.3491 101.461 219.19
3.4 80.2482 101.375 218.376
3.5 81.0015 101.403 217.595
3.6 81.6177 101.527 216.856
3.7 82.1065 101.728 216.166
3.8 82.4783 101.992 215.53
3.9 82.7442 102.303 214.953
4 82.9154 102.649 214.435
4.1 83.0032 103.018 213.979
4.2 83.0189 103.4 213.581
4.3 82.9734 103.784 213.242
4.4 82.8772 104.164 212.959
4.5 82.7403 104.533 212.727
4.6 82.5718 104.884 212.544
4.7 82.3802 105.215 212.405
4.8 82.173 105.521 212.306
4.9 81.9571 105.8 212.243
5 81.7381 106.051 212.211
5.1 81.5212 106.273 212.206
5.2 81.3104 106.467 212.223
5.3 81.1091 106.633 212.258
5.4 80.9198 106.772 212.309
5.5 80.7447 106.885 212.37
5.6 80.5848 106.975 212.44
5.7 80.4411 107.043 212.516
5.8 80.3139 107.092 212.594
5.9 80.2031 107.123 212.674
6 80.1084 107.139 212.752
6.1 80.0289 107.142 212.829
6.2 79.9641 107.134 212.901
6.3 79.9127 107.117 212.97
6.4 79.8737 107.093 213.033
6.5 79.8459 107.063 213.091
6.6 79.828 107.029 213.143
6.7 79.819 106.993 213.188
6.8 79.8175 106.954 213.228
6.9 79.8225 106.915 213.262
7 79.8328 106.877 213.291
7.1 79.8475 106.839 213.314
7.2 79.8655 106.803 213.332
7.3 79.8862 106.768 213.346
7.4 79.9086 106.736 213.355
7.5 79.9322 106.707 213.361
