A
t S I R
0 300 100 0
0.1 270.3 119.92 10
0.2 238.703 140.246 21.486
0.3 206.637 159.587 34.4235
0.4 175.738 176.477 48.6403
0.5 147.531 189.702 63.8268
0.6 123.127 198.567 79.5674
0.7 103.062 203 95.398
0.8 87.3287 203.459 110.871
0.9 75.532 200.719 125.607
1 67.0863 195.647 139.323
1.1 61.367 189.051 151.838
1.2 57.8006 181.596 163.06
1.3 55.9025 173.787 172.969
1.4 55.2823 165.985 181.595
1.5 55.6328 158.43 189.005
1.6 56.7158 151.274 195.284
1.7 58.3464 144.605 200.53
1.8 60.3807 138.466 204.844
1.9 62.706 132.869 208.325
2 65.233 127.808 211.071
2.1 67.8901 123.262 213.172
2.2 70.6197 119.205 214.711
2.3 73.3746 115.608 215.768
2.4 76.1163 112.437 216.41
2.5 78.8128 109.662 216.704
2.6 81.438 107.251 216.705
2.7 83.9701 105.174 216.465
2.8 86.3914 103.404 216.029
2.9 88.6878 101.914 215.438
3 90.848 100.68 214.729
3.1 92.8634 99.6778 213.931
3.2 94.7278 98.8867 213.074
3.3 96.4373 98.2862 212.181
3.4 97.9901 97.8574 211.273
3.5 99.3859 97.5825 210.369
3.6 100.626 97.4445 209.482
3.7 101.715 97.4275 208.627
3.8 102.655 97.5167 207.813
3.9 103.454 97.6976 207.05
4 104.117 97.9568 206.343
4.1 104.653 98.2817 205.697
4.2 105.069 98.6604 205.117
4.3 105.376 99.0816 204.604
4.4 105.582 99.5349 204.159
4.5 105.698 100.011 203.783
4.6 105.732 100.501 203.472
4.7 105.696 100.996 203.227
4.8 105.599 101.491 203.043
4.9 105.451 101.978 202.918
5 105.26 102.452 202.848
5.1 105.035 102.909 202.829
5.2 104.784 103.345 202.857
5.3 104.515 103.757 202.927
5.4 104.235 104.142 203.035
5.5 103.949 104.5 203.175
5.6 103.662 104.829 203.345
5.7 103.381 105.129 203.538
5.8 103.107 105.4 203.752
5.9 102.845 105.644 203.982
6 102.598 105.86 204.225
6.1 102.367 106.05 204.477
6.2 102.153 106.216 204.736
